,puntuacion usuarios,marca
11151,8.3,SONY
11147,8.3,SONY
11218,8.3,SONY
11301,8.3,SONY
3908,8.2,SONY
3585,8.2,SONY
11626,8.2,SONY
12254,8.2,SONY
3483,8.2,SONY
10839,8.2,SONY
11612,8.2,SONY
11571,8.2,SONY
12316,8.2,SONY
12687,8.2,SONY
12339,8.2,SONY
12335,8.2,SONY
3910,8.2,SONY
3579,8.2,SONY
12353,8.2,SONY
11802,8.2,SONY
3871,8.2,SONY
11917,8.2,SONY
11909,8.2,SONY
11928,8.2,SONY
12262,8.2,SONY
11896,8.2,SONY
11637,8.2,SONY
11709,8.2,SONY
11851,8.2,SONY
11848,8.2,SONY
11847,8.2,SONY
11631,8.2,SONY
12658,8.2,SONY
12663,8.2,SONY
12669,8.2,SONY
12273,8.2,SONY
11731,8.2,SONY
10838,8.2,SONY
1246,8.2,SONY
8389,8.2,SONY
8370,8.2,SONY
1338,8.2,SONY
8319,8.2,SONY
8190,8.2,SONY
8108,8.2,SONY
8102,8.2,SONY
15278,8.2,SONY
8421,8.2,SONY
15300,8.2,SONY
15304,8.2,SONY
15435,8.2,SONY
15451,8.2,SONY
15494,8.2,SONY
15497,8.2,SONY
15503,8.2,SONY
15047,8.2,SONY
14991,8.2,SONY
9097,8.2,SONY
5099,8.2,SONY
9029,8.2,SONY
14475,8.2,SONY
14501,8.2,SONY
8775,8.2,SONY
8742,8.2,SONY
14614,8.2,SONY
8722,8.2,SONY
14728,8.2,SONY
14979,8.2,SONY
5113,8.2,SONY
14747,8.2,SONY
5123,8.2,SONY
14785,8.2,SONY
14807,8.2,SONY
14811,8.2,SONY
8481,8.2,SONY
15510,8.2,SONY
7629,8.2,SONY
15523,8.2,SONY
6460,8.2,SONY
15960,8.2,SONY
15976,8.2,SONY
5905,8.2,SONY
6610,8.2,SONY
6558,8.2,SONY
5996,8.2,SONY
6473,8.2,SONY
16344,8.2,SONY
15524,8.2,SONY
16354,8.2,SONY
16364,8.2,SONY
16483,8.2,SONY
16513,8.2,SONY
