id,nombre,plataforma,marca,puntuacion usuarios
13371,PixelJunk Shooter,PlayStation3,SONY,8.1
14268,Tomb Raider,PlayStation3,SONY,8.3
16365,Plants vs. Zombies,PC,PC,8.9
16579,Paper Mario: The Thousand-Year Door,GameCube,NINTENDO,9.1
15835,Guilty Gear X2,PlayStation2,SONY,8.7
15869,MVP Baseball 2005,PlayStation2,SONY,8.7
14904,Katamari Damacy REROLL,Switch,NINTENDO,8.4
10822,Pokemon Sun,3DS,NINTENDO,7.7
15017,DOOM,XboxOne,MICROSOFT,8.5
10535,Velocity,PSP,SONY,7.6
925,Destiny 2,XboxOne,MICROSOFT,4.4
12965,Dragon Ball FighterZ,PlayStation4,SONY,8.0
15047,Tom Clancy's Splinter Cell Chaos Theory,PlayStation2,SONY,8.5
15945,NCAA Football 07,PlayStation2,SONY,8.7
12527,The Legend of Zelda: Spirit Tracks,DS,NINTENDO,8.0
12737,Velocity 2X,Switch,NINTENDO,8.0
5866,Legends of Runeterra,PC,PC,6.8
16536,NFL 2K2,Xbox,MICROSOFT,9.0
8292,Brothers in Arms: Road to Hill 30,PC,PC,7.3
8077,DiRT 3,PlayStation3,SONY,7.2
7715,The Witness,PlayStation4,SONY,7.2
15904,Tactics Ogre: Let Us Cling Together,PSP,SONY,8.7
15252,BlazBlue: Calamity Trigger,PlayStation3,SONY,8.5
15285,The Elder Scrolls III: Morrowind,Xbox,MICROSOFT,8.5
15139,INSIDE,PC,PC,8.5
15274,Beyond Good & Evil,GameCube,NINTENDO,8.5
15922,Little King's Story,Wii,NINTENDO,8.7
11950,GRID,Xbox360,MICROSOFT,7.8
15340,Red Dead Redemption: Undead Nightmare Pack,Xbox360,MICROSOFT,8.5
12078,Ikaruga,Xbox360,MICROSOFT,7.9
12981,Frostpunk: Console Edition,PlayStation4,SONY,8.0
15029,NCAA Football 06,PlayStation2,SONY,8.5
10709,Forza Horizon 3: Hot Wheels,XboxOne,MICROSOFT,7.7
8053,F1 2019,PC,PC,7.2
16576,Pokemon HeartGold Version,DS,NINTENDO,9.1
15155,Sin & Punishment: Star Successor,Wii,NINTENDO,8.5
15251,Guacamelee! 2,Switch,NINTENDO,8.5
6376,Sunless Skies,PC,PC,6.9
3795,Resistance 2,PlayStation3,SONY,6.2
11287,Bayonetta,PlayStation3,SONY,7.7
3810,FIFA 14,PlayStation4,SONY,6.2
8454,Wolfenstein II: The New Colossus,PlayStation4,SONY,7.3
12969,GRID,PlayStation3,SONY,8.0
12125,MLB 13: The Show,PlayStation3,SONY,7.9
7075,Night in the Woods,PlayStation4,SONY,7.1
11988,Enter the Gungeon,Switch,NINTENDO,7.9
11127,Max Payne 3,PC,PC,7.7
5318,Fallout 4,PlayStation4,SONY,6.7
12697,MechAssault,Xbox,MICROSOFT,8.0
16514,Kingdom Hearts II,PlayStation2,SONY,9.0
15351,Mass Effect 2: Lair of the Shadow Broker,Xbox360,MICROSOFT,8.5
2477,Skylanders SuperChargers,WiiU,NINTENDO,5.7
16169,Shogun: Total War Warlord Edition,PC,PC,8.8
16460,Bully,PlayStation2,SONY,8.9
15712,Dark Souls III,XboxOne,MICROSOFT,8.6
13379,Super Monkey Ball,GameCube,NINTENDO,8.1
10792,Crypt of the NecroDancer,PC,PC,7.7
3982,Hex: Shards of Fate,PC,PC,6.3
